Designator,Mid X,Mid Y,Rotation,Layer
C1,215.6,-90.4,90.0,top
C2,103.764333,-87.8,270.0,top
C3,136.765466,-87.8,270.0,top
C4,169.7666,-87.8,270.0,top
C5,202.767733,-87.8,270.0,top
C6,90.0,-90.05,90.0,top
D1,95.25,-95.5,0.0,top
D2,128.165466,-94.4,0.0,top
D3,161.1666,-94.4,0.0,top
D4,194.167733,-94.4,0.0,top
J1,218.6,-87.87,0.0,top
J2,87.03,-87.58,0.0,top
LED1,105.424333,-87.8,0.0,top
LED2,138.425466,-87.8,0.0,top
LED3,171.4266,-87.8,0.0,top
LED4,204.427733,-87.8,0.0,top
R1,130.687733,-82.75,0.0,top
R10,97.764333,-91.2,270.0,top
R11,92.5066,-91.2,270.0,top
R12,163.688867,-81.25,0.0,top
R13,158.508867,-91.2,270.0,top
R14,161.1666,-91.2,270.0,top
R15,163.7666,-91.2,270.0,top
R16,196.69,-82.75,0.0,top
R17,196.69,-81.25,0.0,top
R18,191.51,-91.2,270.0,top
R19,194.167733,-91.2,270.0,top
R2,130.687733,-81.25,0.0,top
R20,196.767733,-91.2,270.0,top
R3,125.507733,-91.2,270.0,top
R4,128.165466,-91.2,270.0,top
R5,130.765466,-91.2,270.0,top
R6,163.688867,-82.75,0.0,top
R7,97.6866,-82.75,0.0,top
R8,97.6866,-81.25,0.0,top
R9,95.164333,-91.2,270.0,top
U1,109.771833,-87.8,0.0,top
U2,142.772966,-87.8,0.0,top
U3,175.7741,-87.8,0.0,top
U4,208.775233,-87.8,0.0,top
